dalenna,gsa,Kara,DiC
1,4e-06,2.33333e-06,1e-06
2,5.33333e-06,1.6e-05,5.66667e-06
3,9e-06,3.96667e-05,2.83333e-05
4,2.4e-05,6.63333e-05,2.76667e-05
5,2.33333e-05,8.6e-05,0.000106667
6,3.26667e-05,0.000158667,0.000167667
7,6.46667e-05,0.000216,0.000169333
8,7.6e-05,0.000217333,0.000169
9,9.26667e-05,0.000322333,0.000586333
10,0.000118667,0.000267667,0.000403
11,9.16667e-05,0.000272,0.000404333
12,0.000106667,0.000273,0.000395
13,0.000144,0.000343,0.000426667
14,0.000140333,0.000473,0.000465
15,0.000161333,0.000502667,0.000417333
16,0.000180667,0.000453667,0.000399
17,0.000189,0.000622,0.00149833
18,0.000242667,0.000617667,0.001508
19,0.000236,0.000644667,0.001532
20,0.000269,0.000661,0.00145867
21,0.000277333,0.000730333,0.00146833
22,0.000336333,0.000843333,0.001793
23,0.000476,0.00106467,0.00158767
24,0.000356,0.00102833,0.00179767
25,0.000458333,0.00130267,0.00152967
26,0.000442,0.00109933,0.001737
27,0.000444,0.00114033,0.00191667
28,0.000634667,0.00111233,0.001534
29,0.000551333,0.00128333,0.00159933
30,0.000537,0.001085,0.00144633
31,0.000540333,0.00122267,0.00147967
32,0.000609,0.00153533,0.002142
33,0.000706,0.00158567,0.005543
34,0.000624333,0.001507,0.00526533
35,0.000650667,0.001589,0.005976
36,0.000701,0.00219867,0.00594433
37,0.000765667,0.00197933,0.005698
38,0.000810667,0.001851,0.00576433
39,0.000898333,0.002157,0.005948
40,0.000957333,0.00197767,0.00566367
41,0.00113567,0.00224333,0.005827
42,0.000963667,0.00204633,0.00591133
43,0.00101433,0.00232267,0.005679
44,0.001155,0.00233733,0.00587867
45,0.00111433,0.00244833,0.005906
46,0.00138867,0.00235467,0.00563233
47,0.00120067,0.002635,0.00579933
48,0.00134467,0.00259667,0.005837
49,0.00138067,0.00260967,0.00595633
50,0.00135733,0.00313633,0.00595867
51,0.00176233,0.00305667,0.00584633
52,0.001525,0.00276733,0.00610533
53,0.00178733,0.00305067,0.00575733
54,0.001586,0.00307267,0.00584567
55,0.001682,0.003165,0.00616
56,0.00164533,0.00317633,0.00595167
57,0.001735,0.00311367,0.00584033
58,0.00184167,0.00316833,0.005879
59,0.00183633,0.00366167,0.00643733
60,0.00192433,0.00353633,0.005942
61,0.002141,0.00359867,0.006117
62,0.00206367,0.00349633,0.00712667
63,0.00241267,0.003981,0.00627767
64,0.00219433,0.00417233,0.006642
65,0.00234267,0.00489533,0.0229667
66,0.00259467,0.00412233,0.0223997
67,0.002368,0.00453767,0.022385
68,0.00313233,0.00544767,0.021652
69,0.002526,0.00462033,0.022124
70,0.00277067,0.00541633,0.0270147
71,0.00298367,0.00534833,0.0239427
72,0.00310133,0.00618167,0.0226757
73,0.00281933,0.004978,0.0229963
74,0.00328167,0.00554067,0.022141
75,0.00297,0.00516267,0.022509
76,0.00307633,0.00542367,0.0218903
77,0.003143,0.007049,0.02192
78,0.00372033,0.005478,0.0228897
79,0.00451867,0.006187,0.0218483
80,0.00337267,0.00631433,0.023041
81,0.00375867,0.00593,0.0228063
82,0.003784,0.006154,0.0226687
83,0.004003,0.00664233,0.023189
84,0.003775,0.00631833,0.022335
85,0.00413933,0.00685867,0.0231707
86,0.00395,0.00665267,0.0225667
87,0.00390733,0.00677467,0.0232313
88,0.004219,0.00671267,0.0227237
89,0.00404067,0.00695267,0.0215367
90,0.00405067,0.00673633,0.0249967
91,0.004332,0.006937,0.023024
92,0.004347,0.00676533,0.0222363
93,0.00510667,0.00707233,0.0248003
94,0.00503567,0.00824033,0.023294
95,0.004883,0.00761767,0.024383
96,0.00549633,0.00813267,0.0233793
97,0.00522633,0.00819933,0.0254683
98,0.005071,0.00777533,0.02409
99,0.005829,0.00802333,0.0233177
100,0.00525433,0.00909533,0.0246587
101,0.005707,0.00974,0.024536
102,0.00545333,0.00848433,0.024375
103,0.00645367,0.008535,0.0226297
104,0.00587033,0.00845133,0.0232087
105,0.00629567,0.00907733,0.0227623
106,0.005794,0.00886833,0.0226373
107,0.00586433,0.00901067,0.022955
108,0.006057,0.00870167,0.0229723
109,0.00623033,0.00977733,0.023346
110,0.00599033,0.00856267,0.0227947
111,0.00653167,0.00959267,0.022757
112,0.00609567,0.00889,0.0235073
113,0.00652433,0.009523,0.0226457
114,0.00678467,0.0101943,0.0241757
115,0.00682867,0.0100913,0.0238603
116,0.00690767,0.00953567,0.0244327
117,0.00823733,0.010345,0.0251563
118,0.00803067,0.011416,0.024704
119,0.007494,0.0110277,0.0241853
120,0.00784867,0.00999367,0.0232023
121,0.00724733,0.012675,0.0258657
122,0.007965,0.0112343,0.0251603
123,0.00865067,0.0108743,0.0251623
124,0.007939,0.0113197,0.025025
125,0.00868333,0.01224,0.025656
126,0.00817333,0.0117017,0.026069
127,0.008405,0.0120933,0.025178
128,0.008748,0.0122727,0.025359
129,0.008731,0.0132223,0.0922213
130,0.00859933,0.0123923,0.0827407
131,0.00864633,0.013106,0.0860367
132,0.008658,0.011994,0.0813
133,0.00973867,0.0126767,0.083009
134,0.00891367,0.0145073,0.087482
135,0.00942,0.0149283,0.089182
136,0.0118227,0.0143873,0.0866373
137,0.009339,0.0127143,0.0866153
138,0.0100493,0.0148713,0.0887627
139,0.0101767,0.01482,0.093221
140,0.011061,0.0152707,0.0927273
141,0.0126687,0.0190887,0.0923593
142,0.0114263,0.0162267,0.0891667
143,0.0105727,0.0145577,0.0897487
144,0.0114397,0.0157753,0.0893917
145,0.0111633,0.0155407,0.0897713
146,0.0114663,0.0162207,0.089191
147,0.011288,0.0161557,0.0894247
148,0.0118887,0.0165853,0.092797
149,0.0115263,0.016405,0.0897427
150,0.0133683,0.0181963,0.0893037
151,0.0118663,0.0165117,0.0886163
152,0.0122137,0.0172593,0.100435
153,0.0134163,0.0190983,0.089417
154,0.0124533,0.0171077,0.087263
155,0.013877,0.018343,0.090348
156,0.0136637,0.0176833,0.084428
157,0.0129203,0.017064,0.090483
158,0.0133617,0.0187063,0.090408
159,0.0134107,0.0179267,0.0884227
160,0.0135047,0.0194987,0.090082
161,0.0131723,0.0175247,0.0863303
162,0.0129153,0.0190217,0.0931257
163,0.0131747,0.0179677,0.09135
164,0.0137833,0.0189297,0.0878087
165,0.014505,0.018244,0.0899327
166,0.0134787,0.0186807,0.0877567
167,0.014468,0.0195793,0.0933863
168,0.0158283,0.020012,0.091605
169,0.015248,0.0194807,0.0876603
170,0.015293,0.0196787,0.0888303
171,0.0150637,0.0188633,0.088241
172,0.015865,0.018938,0.090376
173,0.015781,0.021339,0.0907133
174,0.0162153,0.018925,0.0887383
175,0.0151867,0.0185287,0.0858013
176,0.0164713,0.0203397,0.0904153
177,0.0155603,0.0209727,0.0906087
178,0.0158977,0.0203047,0.0874883
179,0.016072,0.0213613,0.088939
180,0.016493,0.0217963,0.0893013
181,0.0163567,0.0219963,0.0923697
182,0.0169873,0.0212757,0.0931137
183,0.016734,0.0218967,0.0900053
184,0.0177863,0.0207687,0.0886683
185,0.0179693,0.0214357,0.0912613
186,0.017032,0.0224177,0.0918053
187,0.018022,0.021574,0.088514
188,0.018551,0.0223583,0.092939
189,0.01736,0.0222203,0.0887357
190,0.0188947,0.0229933,0.0916243
191,0.0187473,0.021098,0.0905573
192,0.018481,0.0215307,0.0902077
193,0.0201703,0.0239747,0.0974873
194,0.0196667,0.022526,0.0925
195,0.0202733,0.0244047,0.091087
196,0.0195913,0.0231927,0.0924487
197,0.0201,0.0230947,0.094595
198,0.0192013,0.0236517,0.091875
199,0.0206553,0.0250103,0.0925603
200,0.0207007,0.0249177,0.0921833
201,0.020029,0.024806,0.092684
302,0.0453037,0.0493907,0.35373
403,0.0832933,0.0756177,0.385251
504,0.132163,0.1009,0.388063
605,0.183009,0.149543,1.43025
706,0.257361,0.197935,1.50092
807,0.340604,0.248459,1.51286
908,0.428903,0.264301,1.53612
1009,0.510331,0.312919,1.56614
1110,0.623941,0.3894,5.64272
1211,0.729931,0.442896,5.67887
1312,0.880128,0.498969,5.7319
1413,0.998817,0.552352,5.77749
1514,1.16579,0.615471,5.88637
2015,2.06093,0.935371,6.30873
2516,3.32612,1.47502,23.2353
3017,4.49389,1.91783,24.0227
3518,6.40963,2.46532,24.7768
4019,8.21061,2.86625,25.3538
4520,10.2745,3.58966,89.0036
5021,12.6658,4.08967,90.2099
5522,15.2204,4.86516,91.0993
6023,18.4414,5.36793,95.1412
6524,21.4334,6.35949,95.7365
7025,24.351,6.89086,97.6479
7526,28.4697,7.57937,98.912
8027,32.7085,8.57652,98.8274
8528,34.6563,9.16089,353.803
9029,41.4059,10.913,521.6
9530,76.7794,21.8398,748.669
